Route_ID,Branch_ID,Start_Date_of_Route,Start_Time_of_Route,End_Time_of_Route,Planned_total_Mileage,Loaded_Kgs,Loaded_Total_Crates,Orders,Planned_total_Route_time,energyUsedByRefrige,equivalMileage,newJourneyMileage,Energy_Required,Energy_Needed,vannumber_ev_,vannumber_d_,chargerType
10296129,122,01/01/2020 00:00:00,01-Jan-2020 07:53:12,01-Jan-2020 14:30:14,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,1,0,45
10296130,122,01/01/2020 00:00:00,01-Jan-2020 08:07:04,01-Jan-2020 14:44:07,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,2,0,45
10296131,122,02/01/2020 00:00:00,02-Jan-2020 07:44:26,02-Jan-2020 14:21:29,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,1,0,45
10296132,122,02/01/2020 00:00:00,02-Jan-2020 09:10:38,02-Jan-2020 15:47:42,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,2,0,45
10296134,122,03/01/2020 00:00:00,03-Jan-2020 08:24:34,03-Jan-2020 15:01:37,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,1,0,45
10296133,122,03/01/2020 00:00:00,03-Jan-2020 08:37:51,03-Jan-2020 15:14:54,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,2,0,45
10296136,122,04/01/2020 00:00:00,04-Jan-2020 06:47:57,04-Jan-2020 13:25:00,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,1,0,45
10296138,122,04/01/2020 00:00:00,04-Jan-2020 07:41:01,04-Jan-2020 14:18:05,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,2,0,45
10296135,122,04/01/2020 00:00:00,04-Jan-2020 08:28:05,04-Jan-2020 15:05:08,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,3,0,45
10296137,122,04/01/2020 00:00:00,04-Jan-2020 08:34:32,04-Jan-2020 15:11:35,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,4,0,45
10296141,122,05/01/2020 00:00:00,05-Jan-2020 06:41:54,05-Jan-2020 13:18:56,64.1335585135796,590.4,72,14.4,06:37:02,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,1,0,45
10296139,122,05/01/2020 00:00:00,05-Jan-2020 07:24:49,05-Jan-2020 14:01:52,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,2,0,45
10296140,122,05/01/2020 00:00:00,05-Jan-2020 08:42:12,05-Jan-2020 15:19:16,64.1335585135796,590.4,72,14.4,06:37:03,3.3083,4.48279132791328,68.6163498414929,50.6388661830217,50.6388661830217,3,0,45
