Route_ID,Branch_ID,Start_Date_of_Route,Start_Time_of_Route,End_Time_of_Route,Planned_total_Mileage,Loaded_Kgs,Loaded_Total_Crates,Orders,Planned_total_Route_time,energyUsedByRefrige,equivalMileage,newJourneyMileage,Energy_Required,Energy_Needed,vannumber_ev_,vannumber_d_,chargerType
10538870,215,01/01/2020 00:00:00,01-Jan-2020 06:48:18,01-Jan-2020 12:41:45,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,1,0,9.9
10538868,215,01/01/2020 00:00:00,01-Jan-2020 07:33:58,01-Jan-2020 13:27:25,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,2,0,9.9
10538869,215,01/01/2020 00:00:00,01-Jan-2020 08:14:15,01-Jan-2020 14:07:42,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,3,0,9.9
10538871,215,02/01/2020 00:00:00,02-Jan-2020 08:19:35,02-Jan-2020 14:13:02,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,1,0,9.9
10538873,215,02/01/2020 00:00:00,02-Jan-2020 09:06:41,02-Jan-2020 15:00:08,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,2,0,9.9
10538872,215,02/01/2020 00:00:00,02-Jan-2020 09:22:00,02-Jan-2020 15:15:27,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,3,0,9.9
10538876,215,03/01/2020 00:00:00,03-Jan-2020 06:37:32,03-Jan-2020 12:31:00,36.211551409544,590.4,72,14.4,05:53:28,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,1,0,9.9
10538874,215,03/01/2020 00:00:00,03-Jan-2020 07:08:23,03-Jan-2020 13:01:50,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,2,0,9.9
10538875,215,03/01/2020 00:00:00,03-Jan-2020 08:30:32,03-Jan-2020 14:23:59,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,3,0,9.9
10538880,215,04/01/2020 00:00:00,04-Jan-2020 06:30:51,04-Jan-2020 12:24:18,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,1,0,9.9
10538881,215,04/01/2020 00:00:00,04-Jan-2020 08:30:38,04-Jan-2020 14:24:05,36.211551409544,590.4,72,14.4,05:53:27,2.9417,3.9860433604336,40.1975947699776,29.6658249402435,29.6658249402435,2,0,9.9
